Strategy,Symbol,Interval,Total Trades,Win Rate %,Profit Factor,Total PnL %,Sharpe Ratio,Max Drawdown %,Avg Trade Duration (min),Status,Error
rsi-oversold-bounce,HBARUSDT,4h,7,71.43,2.62,1.40,7.43,0.90,1954.29,success,
rsi-oversold-bounce,HBARUSDT,6h,8,37.50,1.08,0.03,-1.18,0.92,2070.00,success,
rsi-oversold-bounce,HBARUSDT,8h,6,66.67,1.80,0.49,3.68,0.66,3200.00,success,
rsi-oversold-bounce,HBARUSDT,12h,2,100.00,Infinity,1.35,55.08,0.00,1440.00,success,
rsi-oversold-bounce,HBARUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
rsi-oversold-bounce,TRXUSDT,4h,6,33.33,1.08,0.00,0.04,0.27,600.00,success,
rsi-oversold-bounce,TRXUSDT,6h,5,60.00,1.78,0.21,2.88,0.17,1728.00,success,
rsi-oversold-bounce,TRXUSDT,8h,1,100.00,Infinity,1.07,0.00,0.00,2400.00,success,
rsi-oversold-bounce,TRXUSDT,12h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
rsi-oversold-bounce,TRXUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
rsi-oversold-bounce,ZECUSDT,4h,2,100.00,Infinity,1.21,33.30,0.00,1800.00,success,
rsi-oversold-bounce,ZECUSDT,6h,3,66.67,5.18,0.89,8.69,0.22,2040.00,success,
rsi-oversold-bounce,ZECUSDT,8h,3,66.67,3.06,0.80,6.12,0.40,3360.00,success,
rsi-oversold-bounce,ZECUSDT,12h,6,66.67,1.21,0.14,0.93,0.84,6360.00,success,
rsi-oversold-bounce,ZECUSDT,1d,1,0.00,0.00,-0.51,0.00,0.51,14400.00,success,
rsi-oversold-bounce,LTCUSDT,4h,1,0.00,0.00,-0.22,0.00,0.22,240.00,success,
rsi-oversold-bounce,LTCUSDT,6h,3,33.33,0.68,-0.15,-5.25,0.42,1440.00,success,
rsi-oversold-bounce,LTCUSDT,8h,2,50.00,0.70,-0.07,-2.36,0.19,3120.00,success,
rsi-oversold-bounce,LTCUSDT,12h,1,0.00,0.00,-0.01,0.00,0.01,2880.00,success,
rsi-oversold-bounce,LTCUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
rsi-oversold-bounce,AAVEUSDT,4h,3,100.00,Infinity,0.84,23.39,0.00,2400.00,success,
rsi-oversold-bounce,AAVEUSDT,6h,3,66.67,115.02,0.74,10.31,0.01,2640.00,success,
rsi-oversold-bounce,AAVEUSDT,8h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
rsi-oversold-bounce,AAVEUSDT,12h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
rsi-oversold-bounce,AAVEUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
rsi-oversold-bounce,ETCUSDT,4h,5,60.00,1.90,0.52,2.21,0.63,1440.00,success,
rsi-oversold-bounce,ETCUSDT,6h,2,0.00,0.00,-0.24,-11.93,0.24,1260.00,success,
rsi-oversold-bounce,ETCUSDT,8h,2,50.00,2.24,0.29,4.16,0.25,1680.00,success,
rsi-oversold-bounce,ETCUSDT,12h,2,50.00,0.79,-0.10,-1.49,0.42,3240.00,success,
rsi-oversold-bounce,ETCUSDT,1d,1,100.00,Infinity,0.77,0.00,0.00,2880.00,success,
rsi-oversold-bounce,BCHUSDT,4h,1,100.00,Infinity,0.34,0.00,0.00,960.00,success,
rsi-oversold-bounce,BCHUSDT,6h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
rsi-oversold-bounce,BCHUSDT,8h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
rsi-oversold-bounce,BCHUSDT,12h,1,100.00,Infinity,0.23,0.00,0.00,1440.00,success,
rsi-oversold-bounce,BCHUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
rsi-oversold-bounce,DOGEUSDT,4h,4,75.00,4.66,0.72,8.90,0.21,1200.00,success,
rsi-oversold-bounce,DOGEUSDT,6h,3,66.67,3.12,0.45,6.95,0.22,1680.00,success,
rsi-oversold-bounce,DOGEUSDT,8h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
rsi-oversold-bounce,DOGEUSDT,12h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
rsi-oversold-bounce,DOGEUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,BTCUSDT,4h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,BTCUSDT,6h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,BTCUSDT,8h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,BTCUSDT,12h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,BTCUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,ETHUSDT,4h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,ETHUSDT,6h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,ETHUSDT,8h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,ETHUSDT,12h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,ETHUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,SOLUSDT,4h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,SOLUSDT,6h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,SOLUSDT,8h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,SOLUSDT,12h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,SOLUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,BNBUSDT,4h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,BNBUSDT,6h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,BNBUSDT,8h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,BNBUSDT,12h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,BNBUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,DOTUSDT,4h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,DOTUSDT,6h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,DOTUSDT,8h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,DOTUSDT,12h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,DOTUSDT,1d,3,100.00,Infinity,2.17,195.79,0.00,3360.00,success,
connors-rsi2-original,SUIUSDT,4h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,SUIUSDT,6h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,SUIUSDT,8h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,SUIUSDT,12h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,SUIUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,XRPUSDT,4h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,XRPUSDT,6h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,XRPUSDT,8h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,XRPUSDT,12h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,XRPUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,ADAUSDT,4h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,ADAUSDT,6h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,ADAUSDT,8h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,ADAUSDT,12h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,ADAUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,XLMUSDT,4h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,XLMUSDT,6h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,XLMUSDT,8h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,XLMUSDT,12h,7,28.57,0.33,-0.52,-5.60,0.68,2674.29,success,
connors-rsi2-original,XLMUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,XMRUSDT,4h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,XMRUSDT,6h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,XMRUSDT,8h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,XMRUSDT,12h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,XMRUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,NEARUSDT,4h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,NEARUSDT,6h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,NEARUSDT,8h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,NEARUSDT,12h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,NEARUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,UNIUSDT,4h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,UNIUSDT,6h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,UNIUSDT,8h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,UNIUSDT,12h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,UNIUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,HBARUSDT,4h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,HBARUSDT,6h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,HBARUSDT,8h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,HBARUSDT,12h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,HBARUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,TRXUSDT,4h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,TRXUSDT,6h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,TRXUSDT,8h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,TRXUSDT,12h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,TRXUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,ZECUSDT,4h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,ZECUSDT,6h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,ZECUSDT,8h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,ZECUSDT,12h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,ZECUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,LTCUSDT,4h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,LTCUSDT,6h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,LTCUSDT,8h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,LTCUSDT,12h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,LTCUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,AAVEUSDT,4h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,AAVEUSDT,6h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,AAVEUSDT,8h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,AAVEUSDT,12h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,AAVEUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,ETCUSDT,4h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,ETCUSDT,6h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,ETCUSDT,8h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,ETCUSDT,12h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,ETCUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,BCHUSDT,4h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,BCHUSDT,6h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,BCHUSDT,8h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,BCHUSDT,12h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,BCHUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,DOGEUSDT,4h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,DOGEUSDT,6h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,DOGEUSDT,8h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,DOGEUSDT,12h,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
connors-rsi2-original,DOGEUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
rsi-sma-filter,BTCUSDT,4h,17,52.94,1.60,1.41,2.64,1.18,2470.59,success,
rsi-sma-filter,BTCUSDT,6h,13,76.92,2.34,1.64,6.23,1.31,4236.92,success,
rsi-sma-filter,BTCUSDT,8h,4,50.00,1.53,0.17,3.75,0.40,8520.00,success,
rsi-sma-filter,BTCUSDT,12h,5,100.00,Infinity,1.49,34.14,0.00,2736.00,success,
rsi-sma-filter,BTCUSDT,1d,6,33.33,0.87,-0.16,-0.90,1.02,6240.00,success,
rsi-sma-filter,ETHUSDT,4h,33,60.61,1.42,2.07,2.32,1.88,3970.91,success,
rsi-sma-filter,ETHUSDT,6h,29,82.76,8.18,6.53,10.46,0.92,6579.31,success,
rsi-sma-filter,ETHUSDT,8h,19,89.47,19.30,5.85,14.31,0.32,9877.89,success,
rsi-sma-filter,ETHUSDT,12h,13,92.31,6.71,4.52,12.56,0.78,6369.23,success,
rsi-sma-filter,ETHUSDT,1d,10,80.00,4.17,2.66,10.16,0.85,33120.00,success,
rsi-sma-filter,SOLUSDT,4h,19,36.84,0.47,-5.43,-3.60,8.08,2652.63,success,
rsi-sma-filter,SOLUSDT,6h,23,60.87,1.17,0.69,0.44,2.93,5791.30,success,
rsi-sma-filter,SOLUSDT,8h,19,47.37,0.28,-5.00,-5.68,5.00,8614.74,success,
rsi-sma-filter,SOLUSDT,12h,13,76.92,6.51,5.28,14.15,0.94,9803.08,success,
rsi-sma-filter,SOLUSDT,1d,5,80.00,13.45,1.14,18.20,0.10,27360.00,success,
rsi-sma-filter,BNBUSDT,4h,21,57.14,0.87,-0.76,-0.77,4.17,6217.14,success,
rsi-sma-filter,BNBUSDT,6h,10,20.00,0.28,-2.11,-8.86,2.86,14004.00,success,
rsi-sma-filter,BNBUSDT,8h,5,60.00,2.35,0.23,2.66,0.21,12672.00,success,
rsi-sma-filter,BNBUSDT,12h,6,16.67,0.08,-1.76,-14.28,1.91,13320.00,success,
rsi-sma-filter,BNBUSDT,1d,2,100.00,Infinity,2.21,98.24,0.00,15120.00,success,
rsi-sma-filter,DOTUSDT,4h,23,86.96,16.10,10.06,15.53,0.64,3266.09,success,
rsi-sma-filter,DOTUSDT,6h,27,66.67,1.17,1.03,2.03,4.94,4466.67,success,
rsi-sma-filter,DOTUSDT,8h,24,58.33,0.59,-4.23,-3.77,9.75,6540.00,success,
rsi-sma-filter,DOTUSDT,12h,13,69.23,3.30,3.83,9.55,1.66,12406.15,success,
rsi-sma-filter,DOTUSDT,1d,8,87.50,10.04,4.95,18.96,0.53,12240.00,success,
rsi-sma-filter,SUIUSDT,4h,12,66.67,0.83,-0.69,-1.74,3.43,2740.00,success,
rsi-sma-filter,SUIUSDT,6h,15,93.33,12.56,7.91,16.03,0.65,2520.00,success,
rsi-sma-filter,SUIUSDT,8h,18,66.67,1.01,-0.04,2.07,8.34,5066.67,success,
rsi-sma-filter,SUIUSDT,12h,14,35.71,0.43,-4.55,-5.89,6.63,2417.14,success,
rsi-sma-filter,SUIUSDT,1d,3,100.00,Infinity,1.08,31.92,0.00,25920.00,success,
rsi-sma-filter,XRPUSDT,4h,31,67.74,0.97,-0.41,0.17,3.98,3847.74,success,
rsi-sma-filter,XRPUSDT,6h,17,47.06,0.98,-0.20,0.60,1.99,4595.29,success,
rsi-sma-filter,XRPUSDT,8h,10,30.00,0.11,-7.45,-14.32,8.28,3792.00,success,
rsi-sma-filter,XRPUSDT,12h,6,50.00,0.49,-1.99,-3.23,3.80,5040.00,success,
rsi-sma-filter,XRPUSDT,1d,2,100.00,Infinity,1.12,102.57,0.00,12240.00,success,
rsi-sma-filter,ADAUSDT,4h,18,83.33,3.90,5.78,10.07,1.57,2546.67,success,
rsi-sma-filter,ADAUSDT,6h,17,76.47,2.10,3.28,5.61,2.35,4023.53,success,
rsi-sma-filter,ADAUSDT,8h,19,78.95,1.22,1.29,1.68,5.62,6694.74,success,
rsi-sma-filter,ADAUSDT,12h,5,100.00,Infinity,3.54,26.01,0.00,9072.00,success,
rsi-sma-filter,ADAUSDT,1d,9,77.78,388.25,27.69,20.99,0.07,30720.00,success,
rsi-sma-filter,XLMUSDT,4h,8,62.50,6.33,2.62,11.58,0.51,3810.00,success,
rsi-sma-filter,XLMUSDT,6h,7,71.43,2.24,1.85,5.69,1.51,2931.43,success,
rsi-sma-filter,XLMUSDT,8h,2,50.00,0.92,-0.11,1.52,1.16,5280.00,success,
rsi-sma-filter,XLMUSDT,12h,7,85.71,9.37,2.26,13.65,0.27,9360.00,success,
rsi-sma-filter,XLMUSDT,1d,2,50.00,0.48,-0.75,-3.95,1.42,9360.00,success,
rsi-sma-filter,XMRUSDT,4h,5,40.00,0.84,-0.15,0.73,0.76,4560.00,success,
rsi-sma-filter,XMRUSDT,6h,10,20.00,0.50,-1.11,-3.75,2.14,8676.00,success,
rsi-sma-filter,XMRUSDT,8h,8,12.50,0.15,-3.98,-10.94,4.41,5700.00,success,
rsi-sma-filter,XMRUSDT,12h,1,100.00,Infinity,0.61,0.00,0.00,10800.00,success,
rsi-sma-filter,XMRUSDT,1d,1,100.00,Infinity,0.17,0.00,0.00,21600.00,success,
rsi-sma-filter,NEARUSDT,4h,24,37.50,0.43,-5.63,-4.11,6.92,3020.00,success,
rsi-sma-filter,NEARUSDT,6h,33,45.45,0.78,-2.14,-1.08,3.92,4330.91,success,
rsi-sma-filter,NEARUSDT,8h,36,66.67,1.48,2.52,1.98,3.52,6240.00,success,
rsi-sma-filter,NEARUSDT,12h,12,100.00,Infinity,7.08,26.86,0.00,8340.00,success,
rsi-sma-filter,NEARUSDT,1d,7,100.00,Infinity,5.35,25.86,0.00,16457.14,success,
rsi-sma-filter,UNIUSDT,4h,28,85.71,9.06,10.46,13.88,0.70,2871.43,success,
rsi-sma-filter,UNIUSDT,6h,19,73.68,2.70,6.64,7.97,2.17,4092.63,success,
rsi-sma-filter,UNIUSDT,8h,11,63.64,0.62,-4.22,-3.26,10.20,4101.82,success,
rsi-sma-filter,UNIUSDT,12h,13,46.15,0.92,-0.43,-0.46,2.37,11852.31,success,
rsi-sma-filter,UNIUSDT,1d,5,60.00,0.84,-0.52,-0.85,2.94,27360.00,success,
rsi-sma-filter,HBARUSDT,4h,21,23.81,0.23,-5.80,-7.57,6.30,3828.57,success,
rsi-sma-filter,HBARUSDT,6h,23,65.22,1.34,2.11,0.59,4.61,4226.09,success,
rsi-sma-filter,HBARUSDT,8h,10,80.00,2.13,2.74,6.81,2.42,4272.00,success,
rsi-sma-filter,HBARUSDT,12h,7,71.43,1.19,0.48,1.10,2.13,12754.29,success,
rsi-sma-filter,HBARUSDT,1d,4,0.00,0.00,-7.33,-60.07,7.33,4320.00,success,
rsi-sma-filter,TRXUSDT,4h,42,83.33,3.40,4.79,6.14,1.51,3382.86,success,
rsi-sma-filter,TRXUSDT,6h,37,48.65,0.62,-2.23,-3.14,3.89,5711.35,success,
rsi-sma-filter,TRXUSDT,8h,30,33.33,0.10,-11.72,-14.15,12.22,8640.00,success,
rsi-sma-filter,TRXUSDT,12h,18,44.44,0.86,-0.62,-0.32,3.42,15760.00,success,
rsi-sma-filter,TRXUSDT,1d,2,100.00,Infinity,0.83,15.80,0.00,15120.00,success,
rsi-sma-filter,ZECUSDT,4h,21,80.95,7.11,9.66,11.93,1.28,1497.14,success,
rsi-sma-filter,ZECUSDT,6h,13,30.77,0.40,-5.17,-5.83,8.22,8446.15,success,
rsi-sma-filter,ZECUSDT,8h,19,36.84,0.58,-3.84,-3.56,8.72,9094.74,success,
rsi-sma-filter,ZECUSDT,12h,22,45.45,1.17,1.16,0.95,7.58,13156.36,success,
rsi-sma-filter,ZECUSDT,1d,4,100.00,Infinity,2.37,94.71,0.00,23400.00,success,
rsi-sma-filter,LTCUSDT,4h,17,41.18,1.52,1.18,3.84,2.22,3190.59,success,
rsi-sma-filter,LTCUSDT,6h,7,85.71,266.46,2.22,8.67,0.02,8588.57,success,
rsi-sma-filter,LTCUSDT,8h,8,62.50,4.60,1.61,8.26,0.47,7980.00,success,
rsi-sma-filter,LTCUSDT,12h,1,100.00,Infinity,1.85,0.00,0.00,7920.00,success,
rsi-sma-filter,LTCUSDT,1d,0,0.00,0.00,0.00,0.00,0.00,0.00,no_trades,
rsi-sma-filter,AAVEUSDT,4h,24,41.67,1.14,0.56,0.19,4.24,4360.00,success,
rsi-sma-filter,AAVEUSDT,6h,16,62.50,0.97,-0.23,0.39,4.02,7650.00,success,
rsi-sma-filter,AAVEUSDT,8h,17,64.71,1.64,1.61,4.56,1.41,6945.88,success,
rsi-sma-filter,AAVEUSDT,12h,6,66.67,7.80,2.74,10.01,0.41,10800.00,success,
rsi-sma-filter,AAVEUSDT,1d,4,0.00,0.00,-12.04,-158.58,12.04,44640.00,success,
rsi-sma-filter,ETCUSDT,4h,46,54.35,1.97,5.19,3.47,2.95,3777.39,success,
rsi-sma-filter,ETCUSDT,6h,23,73.91,5.91,5.93,9.13,0.70,6198.26,success,
rsi-sma-filter,ETCUSDT,8h,21,76.19,7.36,6.51,10.69,0.75,8960.00,success,
rsi-sma-filter,ETCUSDT,12h,4,100.00,Infinity,2.61,22.60,0.00,9540.00,success,
rsi-sma-filter,ETCUSDT,1d,3,66.67,4.09,1.24,9.18,0.41,14400.00,success,
rsi-sma-filter,BCHUSDT,4h,19,47.37,0.62,-1.20,-2.07,2.56,4762.11,success,
rsi-sma-filter,BCHUSDT,6h,19,68.42,1.67,1.85,1.99,1.62,6783.16,success,
rsi-sma-filter,BCHUSDT,8h,8,50.00,1.13,0.15,-0.24,1.23,13080.00,success,
rsi-sma-filter,BCHUSDT,12h,5,100.00,Infinity,5.01,47.72,0.00,8208.00,success,
rsi-sma-filter,BCHUSDT,1d,4,0.00,0.00,-6.75,-371.76,6.75,22320.00,success,
rsi-sma-filter,DOGEUSDT,4h,27,51.85,1.80,2.58,5.16,2.73,3484.44,success,
rsi-sma-filter,DOGEUSDT,6h,35,54.29,1.36,2.34,2.50,2.94,5101.71,success,
rsi-sma-filter,DOGEUSDT,8h,24,66.67,1.32,1.09,0.61,3.89,7320.00,success,
rsi-sma-filter,DOGEUSDT,12h,9,88.89,8.72,5.89,14.75,0.73,9440.00,success,
rsi-sma-filter,DOGEUSDT,1d,9,66.67,1.10,0.33,0.60,3.78,21120.00,success,
mfi-divergence,BTCUSDT,4h,120,38.33,0.54,-14.07,-3.79,14.44,7806.00,success,
mfi-divergence,BTCUSDT,6h,89,47.19,0.70,-7.61,-2.08,9.69,12159.10,success,
mfi-divergence,BTCUSDT,8h,62,46.77,0.82,-3.38,-0.79,6.47,10776.77,success,
mfi-divergence,BTCUSDT,12h,28,46.43,2.16,5.65,3.56,2.63,16585.71,success,
mfi-divergence,BTCUSDT,1d,9,44.44,1.10,0.28,-0.72,2.72,32960.00,success,
mfi-divergence,ETHUSDT,4h,113,43.36,0.68,-13.18,-2.56,16.08,9111.50,success,
mfi-divergence,ETHUSDT,6h,74,48.65,1.02,-0.06,0.15,6.76,12877.30,success,
mfi-divergence,ETHUSDT,8h,45,46.67,1.39,5.61,1.30,6.63,15562.67,success,
mfi-divergence,ETHUSDT,12h,31,38.71,0.91,-1.35,-0.47,7.70,19927.74,success,
mfi-divergence,ETHUSDT,1d,11,45.45,2.84,5.37,5.74,1.11,27752.73,success,
mfi-divergence,SOLUSDT,4h,108,37.96,0.83,-7.50,-1.25,13.64,6893.33,success,
mfi-divergence,SOLUSDT,6h,66,39.39,0.83,-5.30,-1.30,12.72,7930.91,success,
mfi-divergence,SOLUSDT,8h,40,47.50,1.00,-0.33,0.44,5.28,14952.00,success,
mfi-divergence,SOLUSDT,12h,34,58.82,1.66,9.41,3.52,6.02,26068.24,success,
mfi-divergence,SOLUSDT,1d,12,41.67,0.67,-3.60,-2.30,9.07,51840.00,success,
mfi-divergence,BNBUSDT,4h,106,38.68,0.65,-9.97,-2.62,12.40,7870.19,success,
mfi-divergence,BNBUSDT,6h,57,49.12,1.21,2.63,1.38,4.03,12366.32,success,
mfi-divergence,BNBUSDT,8h,47,46.81,2.20,10.80,3.56,3.94,21242.55,success,
mfi-divergence,BNBUSDT,12h,38,39.47,0.97,-0.65,0.22,3.71,26298.95,success,
mfi-divergence,BNBUSDT,1d,9,11.11,0.43,-0.90,-4.21,1.53,13120.00,success,
mfi-divergence,DOTUSDT,4h,121,44.63,0.94,-3.09,-0.60,15.92,7531.24,success,
mfi-divergence,DOTUSDT,6h,77,40.26,0.78,-7.46,-1.84,11.02,11267.53,success,
mfi-divergence,DOTUSDT,8h,50,44.00,0.49,-15.09,-4.97,16.62,22262.40,success,
mfi-divergence,DOTUSDT,12h,25,36.00,0.56,-6.40,-3.25,7.05,28224.00,success,
