strategy,symbol,interval,total_trades,win_rate,profit_factor,total_pnl_percent,max_drawdown_percent,sharpe_ratio,status
atr-volatility-breakout,BTCUSDT,4h,0,0,0,0,0,0,no_trades
atr-volatility-breakout,BTCUSDT,1d,0,0,0,0,0,0,no_trades
atr-volatility-breakout,BTCUSDT,1w,0,0,0,0,0,0,no_trades
atr-volatility-breakout,ETHUSDT,1h,0,0,0,0,0,0,no_trades
atr-volatility-breakout,ETHUSDT,4h,0,0,0,0,0,0,no_trades
atr-volatility-breakout,ETHUSDT,1d,0,0,0,0,0,0,no_trades
atr-volatility-breakout,ETHUSDT,1w,0,0,0,0,0,0,no_trades
atr-volatility-breakout,SOLUSDT,1h,0,0,0,0,0,0,no_trades
atr-volatility-breakout,SOLUSDT,4h,0,0,0,0,0,0,no_trades
atr-volatility-breakout,SOLUSDT,1d,0,0,0,0,0,0,no_trades
atr-volatility-breakout,SOLUSDT,1w,0,0,0,0,0,0,no_trades
atr-volatility-breakout,XRPUSDT,1h,0,0,0,0,0,0,no_trades
atr-volatility-breakout,XRPUSDT,4h,0,0,0,0,0,0,no_trades
atr-volatility-breakout,XRPUSDT,1d,0,0,0,0,0,0,no_trades
atr-volatility-breakout,XRPUSDT,1w,0,0,0,0,0,0,no_trades
awesome-oscillator-crypto,BTCUSDT,1h,158,35.44,0.47,-16.09,16.09,0,completed
awesome-oscillator-crypto,BTCUSDT,4h,45,42.22,0.41,-7.26,7.54,0,completed
awesome-oscillator-crypto,BTCUSDT,1d,15,46.67,0.27,-5.74,5.74,0,completed
awesome-oscillator-crypto,BTCUSDT,1w,1,100.00,Infinity,0.70,0.00,0,completed
awesome-oscillator-crypto,ETHUSDT,1h,179,40.22,0.74,-12.90,13.72,0,completed
awesome-oscillator-crypto,ETHUSDT,4h,56,53.57,0.79,-5.09,5.27,0,completed
awesome-oscillator-crypto,ETHUSDT,1d,11,45.45,0.19,-7.93,7.93,0,completed
