rsi_2,rsi_7,rsi_14,rsi_21,rsi_change_1,rsi_change_5,macd_line,macd_signal,macd_histogram,macd_histogram_change,macd_crossover,atr_7,atr_14,atr_21,atr_percent,bb_width,bb_position,bb_percent_b,ema_9,ema_21,ema_50,ema_200,ema_9_21_cross,ema_50_200_cross,price_vs_ema_9,price_vs_ema_21,price_vs_ema_50,price_vs_ema_200,adx_value,adx_trend_strength,plus_di,minus_di,di_crossover,stoch_k,stoch_d,stoch_crossover,volume_sma_ratio,volume_change,obv_slope,cci_14,cci_20,williams_r,mfi_14,roc_12,keltner_upper,keltner_lower,keltner_position,sma_20,sma_50,sma_200,price_vs_sma_20,price_vs_sma_50,price_vs_sma_200,highest_high_20,lowest_low_20,price_channel_position,avg_true_range_normalized,price_momentum_5,price_momentum_10,price_momentum_20,candle_body_ratio,candle_upper_wick,candle_lower_wick,is_doji,is_hammer,is_engulfing,consecutive_green,consecutive_red,funding_rate,funding_rate_percentile,funding_rate_signal,open_interest,open_interest_change_1h,open_interest_change_24h,oi_price_divergence,taker_buy_ratio,delta_volume,delta_volume_cumulative_5,large_trade_count,fear_greed_index,fear_greed_category,fear_greed_change_7d,btc_dominance,btc_dominance_change_24h,btc_dominance_change_7d,long_liquidations_24h,short_liquidations_24h,liquidation_ratio,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,day_of_month_sin,day_of_month_cos,month_sin,month_cos,is_asian_session,is_european_session,is_us_session,is_weekend,is_month_end,is_quarter_end,halving_cycle_progress,days_from_halving,days_to_next_halving,setup_type_0,setup_type_1,setup_type_2,setup_type_3,setup_type_4,setup_type_5,setup_type_6,setup_type_7,setup_type_8,setup_type_9,setup_type_10,setup_type_11,setup_type_12,setup_type_13,setup_type_14,setup_type_15,setup_type_16,setup_type_17,setup_type_18,setup_type_19,setup_direction,setup_confidence_original,risk_reward_ratio,volume_confirmation,indicator_confluence,entry_vs_ema_9,entry_vs_ema_21,entry_vs_ema_200,entry_vs_atr,stop_loss_atr_multiple,take_profit_atr_multiple,bars_since_last_setup,recent_setup_win_rate,label,timestamp,setup_id,setup_type,symbol
0.5330781936645508,0.7671762108802795,0.6099678874015808,0.5798090100288391,-0.927031397819519,1.025883674621582,5,5,5,5,0,5,5,5,4.148823261260986,0.11191177368164062,1.9573794603347778,1.9573794603347778,5,5,5,5,0,0,3.1473655700683594,5,5,5,-0.4006921350955963,0,5,5,0,0.9687067270278931,1.0654189586639404,-2,1.5370533466339111,-0.792948305606842,-5,5,5,0.9687067270278931,0.6743655204772949,5,5,5,1.114596962928772,5,5,5,5,5,5,5,5,0.9687067270278931,0.04148823395371437,0.8873618245124817,1.8840501308441162,1.117989420890808,-1.4781545400619507,0.3167407512664795,0.42233651876449585,0,0,0,0,1,0,5,0,0,0,0,0,-1,0,0,0,0,2,0,5,0,0,0,0,-1,0,1.4285714626312256,1.3927541971206665,-0.3178870379924774,1.3829673528671265,-0.3580750524997711,0,1.4285714626312256,1,0,0,0,0,0,0.9291666746139526,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.3333333432674408,-0.5168192982673645,1,2,5,5,5,5,1.5,2.224771022796631,5,0.5,1,1704758400000,bollinger-breakout-crypto-258-1766249511850,bollinger-breakout-crypto,BTCUSDT
1.379306674003601,1.9166088104248047,1.3426945209503174,1.0016754865646362,-0.3369585871696472,2.370929718017578,5,5,5,1.2287516593933105,0,5,5,5,3.1635870933532715,0.24717256426811218,1.9954044818878174,1.9954044818878174,5,5,5,5,0,0,5,5,5,5,-0.10272812843322754,0,5,5,0,1.6845855712890625,1.7247642278671265,-2,1.1663907766342163,-1.1721409559249878,5,5,5,1.6845855712890625,1.6554698944091797,5,5,5,2.8305418491363525,5,5,5,5,5,5,5,5,1.7526410818099976,0.03163587301969528,1.947922945022583,3.110128164291382,4.797175407409668,-1.789433479309082,0.21828056871891022,0.676436185836792,0,0,0,0,1,0,5,0,0,0,0,0,-1,0,0,0,0,2,0,5,0,0,0,0,-1,0,1.4285714626312256,1.3927541971206665,-0.3178870379924774,0.6932885050773621,-1.2490665912628174,0.7142857313156128,1.237179160118103,1,0,0,0,0,0,0.9534721970558167,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.3333333432674408,0.5968195796012878,1,2,5,5,5,5,1.5,3.8952293395996094,5,0.5,0,1707782400000,bollinger-breakout-crypto-293-1766249511850,bollinger-breakout-crypto,BTCUSDT
-0.41033899784088135,0.7191932797431946,0.9719125628471375,1.0024594068527222,-3.3447277545928955,-2.246861219406128,5,5,5,-5,0,5,5,5,4.610177993774414,0.3932482600212097,1.3665741682052612,1.3665741682052612,5,5,5,5,0,0,3.473356008529663,5,5,5,1.7776886224746704,3,5,5,0,0.8579490184783936,1.3093055486679077,-2,3.3181867599487305,5,0.30089086294174194,5,5,0.8579490184783936,0.8161534070968628,5,5,5,1.9244188070297241,5,5,5,5,5,5,5,5,0.8579490184783936,0.046101778745651245,0.8483521938323975,4.714449882507324,4.606159210205078,-1.0952075719833374,0.07546672970056534,0.47213706374168396,0,0,0,0,1,0,5,0,0,0,0,0,-1,0,0,0,0,2,0,5,0,0,0,0,-1,0,1.4285714626312256,1.3927541971206665,-0.3178870379924774,1.2123489379882812,0.7556628584861755,1.237179160118103,0.7142857313156128,1,0,0,0,0,0,0.9680555462837219,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.3333333432674408,0.9099791049957275,1,2,5,5,5,5,1.5,4.364968776702881,5,0.5,0,1709596800000,bollinger-breakout-crypto-314-1766249511850,bollinger-breakout-crypto,BTCUSDT
-0.2758362889289856,-0.48699551820755005,-0.19557249546051025,-0.024562111124396324,0.7863509654998779,-1.4475044012069702,5,5,-5,-5,0,5,5,5,5,0.11938738077878952,-1.4979749917984009,-1.4979749917984009,5,5,5,5,0,0,-2.8022875785827637,-3.2583436965942383,1.300000548362732,5,-0.44700032472610474,0,5,5,0,-0.3517848253250122,-0.4089690148830414,2,1.0638192892074585,-2.744173049926758,-4.733328342437744,-5,-5,-0.3517848253250122,-0.34963470697402954,0.3022272288799286,5,5,-0.5967441201210022,5,5,5,-4.470982551574707,-1.6509997844696045,5,5,5,-0.3517848253250122,0.05569203943014145,-1.0077691078186035,-0.8252419829368591,-1.2072608470916748,-1.0624284744262695,0.04807339608669281,0.48314085602760315,0,0,0,1,0,0,5,0,0,0,0,0,-1,0,0,0,0,2,0,5,0,0,0,0,-1,0,1.4285714626312256,0,1.4285714626312256,0.42766159772872925,-1.3630560636520386,1.4285714626312256,8.74747732939563e-17,1,0,0,1,0,0,0.9958333373069763,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3333333432674408,-0.5279832482337952,1,2,-5,-5,5,5,1.5,2.2080252170562744,5,0.5,1,1713052800000,bollinger-breakout-crypto-354-1766249511850,bollinger-breakout-crypto,BTCUSDT
-0.6951512098312378,-0.7162277698516846,-0.3503338694572449,-0.1441510170698166,0.17650283873081207,-2.3372037410736084,-5,5,-5,-5,0,5,5,5,5,0.1481010764837265,-1.7164541482925415,-1.7164541482925415,5,5,5,5,0,0,-3.5494418144226074,-4.976641654968262,-1.4412297010421753,5,-0.356842577457428,0,5,5,0,-0.9675499200820923,-0.858669102191925,0,0.6003040075302124,0.39922580122947693,-5,-5,-5,-0.9675499200820923,-0.30134260654449463,-5,5,5,-0.8924642205238342,5,5,5,-5,-5,5,5,5,-0.9675499200820923,0.057297613471746445,-1.7749391794204712,-1.4812500476837158,-1.634259581565857,-1.7299095392227173,0.20673055946826935,0.6582242250442505,0,0,0,1,0,0,5,0,0,0,0,0,-1,0,0,0,0,2,0,5,0,0,0,0,-1,0,1.4285714626312256,1.3927541971206665,-0.3178870379924774,-0.1445261687040329,-1.4212418794631958,1.4285714626312256,8.74747732939563e-17,1,0,0,0,0,0,0.9972222447395325,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3333333432674408,0.08224184066057205,1,2,-5,-5,5,5,0.8570113182067871,1.784504771232605,5,0.5,1,1713225600000,bollinger-breakout-crypto-356-1766249511850,bollinger-breakout-crypto,BTCUSDT
1.9684432744979858,1.3713107109069824,0.6012324690818787,0.3119819164276123,0.1429695338010788,4.914628028869629,-5,-5,5,5,0,5,5,5,3.8536927700042725,0.17992444336414337,1.941583275794983,1.941583275794983,5,5,5,5,1,0,5,5,4.052362442016602,5,0.6697635650634766,1,5,5,0,1.8840699195861816,1.5172874927520752,0,0.8548088669776917,1.9847267866134644,5,5,5,1.8840699195861816,-0.4330253303050995,5,5,5,1.6591198444366455,5,5,5,5,1.6191033124923706,5,5,5,1.8840699195861816,0.038536928594112396,2.6871695518493652,2.3403210639953613,1.373203158378601,-1.7878258228302002,0.11439353227615356,0.7795193791389465,0,0,0,5,0,0,5,0,0,0,0,0,-1,0,0,0,0,2,0,5,0,0,0,0,-1,0,1.4285714626312256,1.3927541971206665,-0.3178870379924774,-0.1445261687040329,-1.4212418794631958,1.749495465879126e-16,-1.4285714626312256,1,0,0,0,0,0,0.06033287197351456,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.3333333432674408,-0.5187597870826721,1,2,5,5,5,5,1.5,2.221860408782959,5,0.5,0,1721088000000,bollinger-breakout-crypto-447-1766249511851,bollinger-breakout-crypto,BTCUSDT
-0.7055853009223938,0.44168949127197266,0.3461909294128418,0.30899012088775635,-1.6175180673599243,1.1738731861114502,5,5,5,-5,0,5,5,5,3.920893430709839,0.14082539081573486,1.0839799642562866,1.0839799642562866,5,5,5,5,0,0,1.2396010160446167,2.9799375534057617,5,5,-0.6699249744415283,0,5,5,0,0.8137161731719971,1.1331177949905396,-2,1.523280143737793,5,2.3003902435302734,5,5,0.8137161731719971,0.2523794174194336,4.514442443847656,5,5,0.7032397985458374,5,5,5,3.8162972927093506,3.3032658100128174,5,5,5,0.8137161731719971,0.03920893371105194,0.9881250262260437,1.897102952003479,1.8405715227127075,-1.0474846363067627,0.27562353014945984,0.24811877310276031,0,0,1,0,1,0,5,0,0,0,0,0,-1,0,0,0,0,2,0,5,0,0,0,0,-1,0,1.4285714626312256,0,1.4285714626312256,-0.9305320978164673,-1.0839401483535767,0,1.4285714626312256,1,0,0,1,0,0,0.19001387059688568,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.3333333432674408,-0.5207500457763672,1,2,5,5,5,5,1.5,2.218874931335449,5,0.5,1,1737244800000,bollinger-breakout-crypto-634-1766249511852,bollinger-breakout-crypto,BTCUSDT
-0.22761127352714539,-0.5324757695198059,-0.3766554296016693,-0.24645204842090607,0.7990474104881287,0.4046415388584137,-5,-5,-5,0.4352400600910187,0,5,5,5,2.932600736618042,0.10478413105010986,-1.4901765584945679,-1.4901765584945679,5,5,5,5,0,0,-1.7384406328201294,-2.936016321182251,-2.4621801376342773,5,-0.5202986598014832,0,5,5,0,-1.216424822807312,-1.3130346536636353,2,0.24190381169319153,-5,-1.392689824104309,-5,-5,-1.216424822807312,-1.1399388313293457,-5,5,5,-0.9736318588256836,5,5,5,-3.9036715030670166,-4.114203929901123,5,5,5,-1.216424822807312,0.029326006770133972,-0.1309831142425537,-0.95713210105896,-0.5616116523742676,-1.1084835529327393,0.1640724092721939,0.3901693820953369,0,0,0,1,0,0,5,0,0,0,0,0,-1,0,0,0,0,2,0,5,0,0,0,0,-1,0,1.4285714626312256,1.3927541971206665,-0.3178870379924774,-1.2123489379882812,0.7556628584861755,-0.7142857313156128,-1.237179160118103,1,0,0,0,0,0,0.3418862819671631,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3333333432674408,-0.4466821551322937,1,2,-4.460917949676514,-5,4.733647346496582,5,1.5,2.329976797103882,5,0.5,1,1756166400000,bollinger-breakout-crypto-853-1766249511853,bollinger-breakout-crypto,BTCUSDT
0.7242024540901184,1.5527653694152832,1.5036561489105225,1.374056100845337,-0.40393009781837463,0.6879867911338806,5,5,5,-5,0,5,5,5,3.415144443511963,0.31616082787513733,1.8732268810272217,1.8732268810272217,5,5,5,5,0,0,5,5,5,5,1.4518651962280273,2,5,5,0,1.4027093648910522,1.418295979499817,-2,-0.8935720324516296,-5,5,5,5,1.4027093648910522,1.498299241065979,5,5,5,3.2917592525482178,5,5,5,5,5,5,5,5,1.5057774782180786,0.03415144607424736,2.757451057434082,3.9105145931243896,5,-1.0812205076217651,0.051933903247117996,0.48867636919021606,0,0,0,0,1,0,5,0,0,0,0,0,-1,0,0,0,0,2,0,5,0,0,0,0,-1,0,1.4285714626312256,-1.1169021129608154,0.8906997442245483,0.5633655190467834,1.3127968311309814,1.237179160118103,0.7142857313156128,1,0,0,1,0,0,0.9659722447395325,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.3333333432674408,2.2307121753692627,0,2,5,5,5,5,1.0184170007705688,4.308629035949707,5,0.5,0,1709337600000,bollinger-breakout-crypto-311-1766249511850,bollinger-breakout-crypto,BTCUSDT
1.6123155355453491,0.9775108695030212,0.4311564862728119,0.24779434502124786,0.04962516203522682,2.287888288497925,5,-5,5,5,0,5,5,5,4.394837379455566,0.167321115732193,1.9043896198272705,1.9043896198272705,5,5,5,5,0,0,4.690712928771973,5,4.128411769866943,5,-0.20593631267547607,0,5,5,0,1.6404017210006714,1.4393199682235718,0,-1.1043164730072021,-5,4.746776580810547,5,5,1.6404017210006714,0.01194806583225727,5,5,5,1.2230247259140015,5,5,5,5,4.08020544052124,1.4746617078781128,5,5,1.7999398708343506,0.043948374688625336,1.5876948833465576,1.865475058555603,2.061866283416748,-1.7513855695724487,0.35027503967285156,0.5254177451133728,0,0,0,2,0,0,5,0,0,0,0,0,-1,0,0,0,0,2,0,5,0,0,0,0,-1,0,1.4285714626312256,-1.1169021129608154,0.8906997442245483,-1.4120975732803345,0.21632540225982666,-0.7142857313156128,-1.237179160118103,1,0,0,1,0,0,0.08737864345312119,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.3333333432674408,-0.6920782327651978,0,2,5,5,5,5,1.5,1.9618827104568481,5,0.5,1,1724457600000,bollinger-breakout-crypto-486-1766249511851,bollinger-breakout-crypto,BTCUSDT
